LANGUAGE,AGE,SET
language_777,"[1, 1]",10
language_778,"[1, 1]",10
language_779,"[1, 0]",10
language_782,"[1, 0]",10
language_783,"[1, 0]",10
language_784,"[0, 0]",10
language_785,"[1, 0]",10
language_786,"[1, 0]",10
language_787,"[1, 0]",10
language_789,"[1, 1]",10
language_790,"[1, 0]",10
language_791,"[1, 0]",10
language_792,"[1, 1]",10
language_793,"[0, 0]",10
language_796,"[0, 0]",10
language_797,"[1, 0]",10
language_798,"[0, 0]",10
language_799,"[0, 0]",10
language_800,"[0, 0]",10
language_801,"[0, 0]",10
language_802,"[1, 0]",10
language_803,"[1, 0]",10
language_804,"[0, 0]",10
language_805,"[1, 0]",10
language_806,"[1, 0]",10
language_807,"[0, 0]",10
language_808,"[1, 0]",10
language_809,"[1, 0]",10
language_810,"[1, 0]",10
language_811,"[1, 0]",10
language_812,"[1, 0]",10
language_813,"[1, 0]",10
language_815,"[1, 0]",10
language_816,"[1, 0]",10
language_819,"[0, 0]",10
language_820,"[0, 0]",10
language_821,"[1, 0]",10
language_822,"[1, 1]",10
language_823,"[1, 0]",10
language_824,"[0, 0]",10
language_825,"[1, 0]",10
language_828,"[0, 0]",10
language_829,"[0, 0]",10
language_830,"[1, 0]",10
language_831,"[1, 1]",10
language_832,"[1, 0]",10
language_833,"[1, 1]",10
language_835,"[1, 0]",10
language_837,"[1, 0]",10
language_838,"[1, 0]",10
language_839,"[0, 0]",10
language_840,"[0, 0]",10
language_841,"[1, 0]",10
language_842,"[1, 1]",10
language_843,"[1, 0]",10
language_844,"[0, 0]",10
language_845,"[0, 0]",10
language_846,"[0, 0]",10
language_847,"[1, 1]",10
language_848,"[1, 0]",10
language_849,"[0, 0]",10
language_851,"[1, 0]",10
language_852,"[1, 0]",10
language_854,"[0, 0]",10
language_855,"[1, 0]",10
language_857,"[0, 0]",10
language_859,"[1, 0]",10
language_860,"[0, 0]",10
language_861,"[1, 0]",10
language_862,"[1, 0]",10
language_863,"[1, 0]",10
language_864,"[0, 0]",10
language_865,"[1, 0]",10
language_866,"[0, 0]",10
language_867,"[1, 0]",10
language_868,"[1, 0]",10
language_869,"[0, 0]",10
language_870,"[1, 0]",10
language_871,"[1, 0]",10
language_872,"[1, 0]",10
language_873,"[1, 0]",10
language_874,"[0, 0]",10
language_875,"[1, 0]",10
language_876,"[1, 0]",10
language_877,"[0, 1]",10
language_879,"[0, 0]",10
language_880,"[0, 0]",10
language_881,"[0, 0]",10
language_882,"[0, 0]",10
language_884,"[0, 0]",10
language_886,"[1, 0]",10
