LANGUAGE,AGE,SET
language_422,"[1, 0]",192
language_424,"[1, 0]",192
language_425,"[1, 0]",192
language_426,"[0, 0]",192
language_427,"[1, 0]",192
language_429,"[1, 0]",192
language_431,"[1, 0]",192
language_432,"[1, 0]",192
language_433,"[0, 0]",192
language_434,"[1, 0]",192
language_435,"[0, 0]",192
language_436,"[1, 0]",192
language_437,"[0, 1]",192
language_438,"[0, 0]",192
language_439,"[1, 0]",192
language_440,"[0, 0]",192
language_441,"[0, 0]",192
language_443,"[1, 0]",192
language_444,"[1, 0]",192
language_445,"[1, 0]",192
language_446,"[0, 0]",192
language_447,"[1, 0]",192
language_448,"[1, 0]",192
language_449,"[0, 0]",192
language_450,"[1, 0]",192
language_452,"[1, 0]",192
language_455,"[1, 0]",192
language_456,"[1, 0]",192
language_457,"[1, 0]",192
language_458,"[1, 1]",192
language_459,"[1, 0]",192
language_461,"[0, 0]",192
language_462,"[1, 0]",192
language_463,"[0, 0]",192
language_464,"[1, 0]",192
language_465,"[0, 0]",192
language_466,"[0, 0]",192
language_467,"[0, 0]",192
language_468,"[1, 0]",192
language_469,"[1, 0]",192
language_470,"[1, 0]",192
language_471,"[0, 0]",192
language_472,"[0, 0]",192
language_473,"[1, 0]",192
language_474,"[1, 0]",192
language_475,"[1, 0]",192
language_477,"[1, 0]",192
language_478,"[1, 0]",192
language_479,"[1, 0]",192
language_480,"[1, 0]",192
language_481,"[1, 0]",192
language_482,"[0, 0]",192
language_483,"[1, 0]",192
language_484,"[0, 0]",192
language_485,"[1, 1]",192
language_487,"[1, 0]",192
language_489,"[1, 1]",192
language_490,"[0, 0]",192
language_491,"[1, 0]",192
language_494,"[1, 0]",192
language_495,"[1, 0]",192
language_496,"[1, 0]",192
language_497,"[1, 0]",192
language_499,"[1, 0]",192
language_500,"[1, 0]",192
language_501,"[1, 0]",192
language_502,"[0, 0]",192
language_503,"[0, 0]",192
language_504,"[0, 0]",192
language_505,"[0, 0]",192
language_506,"[0, 0]",192
language_507,"[1, 1]",192
language_508,"[0, 0]",192
language_510,"[1, 1]",192
language_513,"[0, 0]",192
language_514,"[0, 0]",192
language_515,"[1, 0]",192
language_516,"[1, 0]",192
language_517,"[1, 0]",192
language_518,"[0, 1]",192
language_519,"[1, 0]",192
language_521,"[1, 0]",192
language_522,"[1, 0]",192
language_523,"[0, 1]",192
language_524,"[1, 0]",192
language_525,"[0, 0]",192
language_526,"[0, 1]",192
language_527,"[1, 0]",192
language_528,"[0, 0]",192
language_529,"[1, 0]",192
language_530,"[0, 0]",192
language_531,"[1, 0]",192
language_532,"[1, 0]",192
language_533,"[0, 0]",192
language_534,"[0, 0]",192
language_536,"[1, 0]",192
language_539,"[1, 0]",192
language_540,"[1, 0]",192
language_541,"[0, 0]",192
language_542,"[1, 0]",192
language_543,"[0, 0]",192
language_544,"[1, 1]",192
language_545,"[0, 0]",192
language_546,"[1, 0]",192
language_547,"[1, 0]",192
language_548,"[1, 0]",192
language_549,"[0, 0]",192
language_550,"[0, 0]",192
language_551,"[1, 0]",192
language_553,"[0, 1]",192
language_554,"[0, 0]",192
language_555,"[1, 0]",192
language_556,"[1, 0]",192
language_557,"[0, 0]",192
language_558,"[0, 0]",192
language_560,"[1, 0]",192
language_561,"[1, 0]",192
language_562,"[1, 0]",192
language_563,"[0, 0]",192
language_564,"[1, 0]",192
language_565,"[1, 0]",192
language_566,"[1, 0]",192
language_567,"[1, 0]",192
language_568,"[1, 0]",192
language_569,"[1, 0]",192
language_571,"[1, 0]",192
language_572,"[0, 0]",192
language_573,"[0, 1]",192
language_574,"[1, 0]",192
language_575,"[0, 0]",192
language_576,"[1, 0]",192
language_577,"[1, 0]",192
language_579,"[1, 0]",192
language_580,"[1, 0]",192
language_581,"[1, 0]",192
language_582,"[0, 0]",192
language_583,"[1, 0]",192
language_585,"[0, 0]",192
language_587,"[1, 0]",192
language_588,"[1, 0]",192
language_589,"[1, 0]",192
language_590,"[0, 0]",192
language_591,"[0, 0]",192
language_592,"[0, 0]",192
language_593,"[1, 0]",192
language_594,"[1, 0]",192
language_595,"[1, 0]",192
language_596,"[1, 0]",192
language_598,"[1, 0]",192
language_600,"[1, 0]",192
language_601,"[0, 0]",192
language_602,"[0, 0]",192
language_603,"[1, 0]",192
language_604,"[0, 0]",192
language_605,"[1, 0]",192
language_606,"[1, 0]",192
language_608,"[0, 0]",192
