LANGUAGE,LINEAGE
language_677,"[0, 1]"
language_678,"[0, 1]"
language_680,"[1, 1]"
language_681,"[0, 0]"
language_682,"[0, 1]"
language_683,"[0, 1]"
language_684,"[0, 1]"
language_685,"[0, 1]"
language_686,"[0, 1]"
language_690,"[0, 1]"
language_692,"[0, 0]"
language_693,"[0, 1]"
language_694,"[0, 1]"
language_695,"[0, 1]"
language_696,"[0, 1]"
language_698,"[0, 1]"
language_699,"[0, 1]"
language_700,"[1, 1]"
language_701,"[1, 1]"
language_703,"[0, 1]"
language_704,"[0, 1]"
language_706,"[0, 1]"
language_710,"[0, 1]"
language_711,"[1, 1]"
language_712,"[0, 1]"
language_716,"[0, 1]"
language_717,"[0, 1]"
language_718,"[0, 1]"
language_720,"[1, 0]"
language_721,"[0, 1]"
language_722,"[1, 1]"
language_723,"[1, 1]"
language_724,"[1, 1]"
language_725,"[0, 1]"
language_726,"[0, 1]"
language_727,"[0, 1]"
language_730,"[1, 0]"
language_731,"[0, 1]"
language_734,"[1, 1]"
language_735,"[1, 1]"
language_736,"[1, 0]"
language_738,"[1, 1]"
language_739,"[0, 0]"
language_740,"[0, 1]"
language_742,"[0, 1]"
language_743,"[0, 1]"
language_744,"[0, 1]"
language_745,"[0, 0]"
language_747,"[0, 1]"
language_748,"[1, 1]"
language_750,"[0, 0]"
language_751,"[0, 0]"
language_752,"[0, 1]"
language_753,"[0, 1]"
language_754,"[0, 1]"
language_756,"[0, 1]"
language_758,"[0, 1]"
language_759,"[0, 0]"
language_760,"[1, 1]"
language_763,"[1, 0]"
language_764,"[0, 0]"
language_765,"[1, 1]"
language_766,"[0, 1]"
language_768,"[0, 1]"
language_769,"[1, 1]"
language_770,"[1, 1]"
language_771,"[0, 0]"
language_772,"[0, 1]"
language_773,"[1, 0]"
language_775,"[0, 1]"
language_776,"[0, 1]"
language_777,"[0, 0]"
language_779,"[1, 1]"
language_780,"[1, 1]"
language_781,"[1, 1]"
language_782,"[0, 0]"
language_783,"[1, 1]"
language_784,"[0, 1]"
language_786,"[0, 1]"
language_788,"[1, 1]"
language_789,"[0, 1]"
language_790,"[1, 0]"
language_791,"[1, 1]"
language_794,"[1, 1]"
language_795,"[0, 0]"
language_797,"[0, 1]"
language_798,"[1, 0]"
language_799,"[0, 1]"
language_800,"[1, 1]"
language_801,"[0, 1]"
language_802,"[0, 1]"
language_803,"[0, 0]"
language_805,"[0, 0]"
language_808,"[0, 1]"
language_810,"[1, 1]"
language_811,"[0, 0]"
language_812,"[0, 1]"
language_813,"[1, 1]"
language_814,"[0, 0]"
language_815,"[0, 1]"
language_816,"[0, 1]"
language_818,"[0, 0]"
language_820,"[0, 0]"
language_821,"[1, 1]"
language_822,"[1, 1]"
language_823,"[0, 1]"
language_824,"[1, 0]"
language_825,"[1, 0]"
language_826,"[0, 1]"
language_829,"[0, 0]"
language_830,"[1, 1]"
language_831,"[0, 1]"
language_832,"[0, 1]"
language_833,"[1, 1]"
language_835,"[1, 1]"
language_836,"[0, 1]"
language_838,"[0, 1]"
language_840,"[1, 1]"
language_841,"[0, 0]"
language_842,"[0, 1]"
language_844,"[0, 1]"
language_845,"[0, 1]"
language_847,"[0, 0]"
language_849,"[0, 0]"
