"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"175","Nyamal",0.916666666666667,1,"kinbank","kinbank"
"176","Nyangumarta",0.0833333333333333,1,"kinbank","kinbank"
"177","Nyawaygi",1,0,"kinbank","kinbank"
"178","Payungu",0.166666666666667,1,"kinbank","kinbank"
"179","PintupiLuritja",0.0833333333333333,1,"kinbank","kinbank"
"180","Pitjantjatjara",0.5,1,"kinbank","kinbank"
"181","Pitta_Pitta",0.954545454545455,1,"kinbank","kinbank"
"182","Ritharrngu",0.0833333333333333,1,"kinbank","kinbank"
"183","Thayore_(Kuuk_Thaayorre)",1,1,"kinbank","kinbank"
"184","Umpila",0.5,0.75,"kinbank","kinbank"
"185","Wajarri",0.5,1,"kinbank","kinbank"
"186","Wakaya",0.916666666666667,1,"kinbank","kinbank"
"187","Wangkajunga",0.0909090909090909,1,"kinbank","kinbank"
"188","Warlpiri",0.318181818181818,1,"kinbank","kinbank"
"189","Warlpiri_",1,1,"kinbank","kinbank"
"190","Warnman",0.5,1,"kinbank","kinbank"
"191","Warrnambool",0.6,1,"kinbank","kinbank"
"192","Warumungu",0.166666666666667,1,"kinbank","kinbank"
"193","Warungu",0.5,1,"kinbank","kinbank"
"194","Wathwurrung",1,1,"kinbank","kinbank"
"195","WikMungkan",0.285714285714286,0.666666666666667,"kinbank","kinbank"
"196","Wiradjuri",0.0909090909090909,1,"kinbank","kinbank"
"197","Wirangu",0.166666666666667,1,"kinbank","kinbank"
"198","Wulguru",0.0909090909090909,1,"kinbank","kinbank"
"199","Yadhaykenu",1,1,"kinbank","kinbank"
"200","Yalarnnga",0.0454545454545455,1,"kinbank","kinbank"
"201","Yalarnnga_",0.0454545454545455,1,"kinbank","kinbank"
"202","Yandruwandha",0.5,1,"kinbank","kinbank"
"203","Yandruwandha_",0.3,1,"kinbank","kinbank"
"204","Yanyuwa",0.0833333333333333,1,"kinbank","kinbank"
"205","Yarluyandi",0.0833333333333333,1,"kinbank","kinbank"
"206","Yidiny",0.166666666666667,1,"kinbank","kinbank"
"207","Yidiny_",0.6,1,"kinbank","kinbank"
"208","Yindjibarndi",1,1,"kinbank","kinbank"
"209","Yugambal_(Yugambeh)",0.545454545454545,1,"kinbank","kinbank"
"210","Yugambeh",0.0909090909090909,1,"kinbank","kinbank"
"211","Yulparija",0.916666666666667,1,"kinbank","kinbank"
"212","Yuwaalaraay",0.583333333333333,1,"kinbank","kinbank"
"213","Dehong",0.166666666666667,1,"kinbank","kinbank"
"214","Turung",1,1,"kinbank","kinbank"
"215","Abui",1,1,"kinbank","kinbank"
"216","Achuar",0.181818181818182,0,"kinbank","kinbank"
"217","Adang",0.4,1,"kinbank","kinbank"
"218","Agob-Ende-Kawam",0,0.5,"kinbank","kinbank"
"219","Aguaruna",0.272727272727273,1,"kinbank","kinbank"
"220","Alamblak",1,1,"kinbank","kinbank"
"221","Amanab",0.6,1,"kinbank","kinbank"
"222","Angaite",0,1,"kinbank","kinbank"
"223","ASF_Auslan",0.0909090909090909,1,"kinbank","kinbank"
"224","Atsugewi",0,1,"kinbank","kinbank"
"225","Au",0.555555555555556,1,"kinbank","kinbank"
"226","Awa",1,1,"kinbank","kinbank"
"227","Awiakay",1,1,"kinbank","kinbank"
"228","Ayoreo",1,1,"kinbank","kinbank"
"229","Bardi",0.6,1,"kinbank","kinbank"
"230","Bari",0.0909090909090909,1,"kinbank","kinbank"
"231","Baruya",0.7,1,"kinbank","kinbank"
"232","Basque",0.0909090909090909,1,"kinbank","kinbank"
