"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"954","Erzya",0.0909090909090909,1,"kinbank","kinbank"
"955","Estonian",1,1,"kinbank","kinbank"
"956","Finnic",0.0909090909090909,1,"kinbank","kinbank"
"957","Finnish",0.0909090909090909,1,"kinbank","kinbank"
"958","Ingrian",0.0909090909090909,1,"kinbank","kinbank"
"959","Kazym_Berezover_Suryskarer_Khanty",0.0909090909090909,1,"kinbank","kinbank"
"960","kinura_ForestEnets",0.0909090909090909,1,"kinbank","kinbank"
"961","kinura_HillMari",0.0909090909090909,0.75,"kinbank","kinbank"
"962","kinura_Livonian",0,0,"kinbank","kinbank"
"963","kinura_MokshaMordvin",0.0909090909090909,1,"kinbank","kinbank"
"964","kinura_Nganasan",0.136363636363636,1,"kinbank","kinbank"
"965","kinura_NorthSaami",0.272727272727273,1,"kinbank","kinbank"
"966","kinura_SkoltSaami",0.181818181818182,1,"kinbank","kinbank"
"967","kinura_SouthSaami",0.227272727272727,1,"kinbank","kinbank"
"968","Komi_Zyrian",0.0909090909090909,1,"kinbank","kinbank"
"969","Magyar",0.0909090909090909,1,"kinbank","kinbank"
"970","Mansi",0.0909090909090909,1,"kinbank","kinbank"
"971","Mari",1,1,"kinbank","kinbank"
"972","Northern_Sami",0.125,1,"kinbank","kinbank"
"973","Selkup",1,1,"kinbank","kinbank"
"974","Tundra_Nenets",1,1,"kinbank","kinbank"
"975","Udmurt",0.375,1,"kinbank","kinbank"
"976","Veps",1,1,"kinbank","kinbank"
"977","Ache╠ü",0.0909090909090909,1,"kinbank","kinbank"
"978","Arawete╠ü",0.523809523809524,1,"kinbank","kinbank"
"979","Aweti╠ü",0.454545454545455,1,"kinbank","kinbank"
"980","Chiriguano",0.0909090909090909,1,"kinbank","kinbank"
"981","Cinta_Larga",1,1,"kinbank","kinbank"
"982","Cocama_Cocamilla",1,1,"kinbank","kinbank"
"983","Emerillon",1,1,"kinbank","kinbank"
"984","Guaja╠ü",1,1,"kinbank","kinbank"
"985","Guarayu",1,1,"kinbank","kinbank"
"986","Juru╠üna",0.818181818181818,1,"kinbank","kinbank"
"987","Kaiwa╠ü",1,1,"kinbank","kinbank"
"988","Kamayura╠ü",0.454545454545455,1,"kinbank","kinbank"
"989","Karitiana",1,1,"kinbank","kinbank"
"990","Kayabi╠ü",0.0909090909090909,1,"kinbank","kinbank"
"991","Mbya╠ü_Guarani╠ü",0.363636363636364,1,"kinbank","kinbank"
"992","Munduruku╠ü",0.95,1,"kinbank","kinbank"
"993","Paraguayan_Guarani╠ü",1,1,"kinbank","kinbank"
"994","Parakana╠â",0.75,1,"kinbank","kinbank"
"995","Pauserna",1,1,"kinbank","kinbank"
"996","Proto_Tupi_Guarani",1,1,"kinbank","kinbank"
"997","Satere╠ü_Mawe╠ü",1,1,"kinbank","kinbank"
"998","Siriono╠ü",0.588235294117647,1,"kinbank","kinbank"
"999","Surui╠ü",0.0909090909090909,1,"kinbank","kinbank"
"1000","Tapirape╠ü",1,1,"kinbank","kinbank"
"1001","Tembe╠ü",1,1,"kinbank","kinbank"
"1002","Tenharim",0.363636363636364,1,"kinbank","kinbank"
"1003","Tocantins_Asurini",0.736842105263158,1,"kinbank","kinbank"
"1004","Tupinamba╠ü",1,1,"kinbank","kinbank"
"1005","Tupi╠ü",1,1,"kinbank","kinbank"
"1006","Wayampi",1,1,"kinbank","kinbank"
