LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Rangiora_(NW_Tuamotus),"(1, 1)","(0, 0)","(0, 0)"
,,,
Rapanui_(Easter_Island),"(1, 1)","(1, 0)","(0, 0)"
,,,
Raroians,"(1, 1)","(0, 0)","(0, 0)"
,,,
Rarotongan_(Cook_Islands_Maori),"(1, 0)","(0, 0)","(0, 0)"
,,,
Ratagnon,"(0, 1)","(1, 0)","(0, 0)"
,,,
Rejang_(Rejangese),"(0, 0)","(1, 0)","(0, 0)"
,,,
Rennell_Islanders,"(1, 1)","(0, 0)","(1, 0)"
,,,
Riuk_Bekati'_(Dayak),"(0, 0)","(1, 0)","(0, 0)"
,,,
Rotinese_Termanu_,"(1, 1)","(1, 1)","(1, 1)"
,,,
Rotumans,"(1, 1)","(1, 0)","(0, 0)"
,,,
Rotuman,"(1, 1)","(1, 0)","(1, 0)"
,,,
Routa,"(0, 1)","(1, 0)","(0, 0)"
,,,
Roviana,"(1, 1)","(0, 0)","(0, 0)"
,,,
Saaroa,"(1, 1)","(1, 0)","(0, 0)"
,,,
Samoan,"(1, 1)","(0, 0)","(0, 0)"
,,,
Samoan_,"(1, 0)","(0, 0)","(0, 0)"
,,,
Sarangani_Blaan,"(1, 1)","(1, 0)","(1, 0)"
,,,
Satawalese,"(1, 0)","(0, 0)","(0, 0)"
,,,
Sawai,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sa_a,"(0, 0)","(0, 0)","(0, 0)"
,,,
Sa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Seke_(Ske),"(1, 1)","(0, 0)","(0, 1)"
,,,
Senbarei,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sie_(Sye),"(1, 1)","(0, 1)","(0, 1)"
,,,
Sikaiana,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sika,"(0, 0)","(1, 0)","(0, 0)"
,,,
Sonsorol,"(1, 0)","(0, 0)","(0, 0)"
,,,
Southeast_Ambrym,"(1, 1)","(0, 0)","(1, 1)"
,,,
Southeast_Babar,"(0, 0)","(1, 0)","(0, 0)"
,,,
Southwest_Tanna,"(1, 0)","(0, 0)","(1, 0)"
,,,
South_Efate_,"(0, 1)","(0, 0)","(0, 1)"
,,,
South_Marquesan,"(1, 0)","(0, 0)","(0, 0)"
,,,
South_Tuvaluan_(Vaitupu),"(1, 1)","(0, 0)","(1, 0)"
,,,
Sula_Fagudu,"(1, 0)","(0, 1)","(0, 0)"
,,,
Sula_Mangoli,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sundanese,"(0, 1)","(1, 1)","(0, 0)"
,,,
Sungagage_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sungwadaga_,"(1, 1)","(0, 0)","(1, 0)"
,,,
Sungwadia_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sungwaloge_(Nalemba_Edward)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sungwaloge_(Nalemba_Simeone_Tari)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sungwaloge_(Navenvene)_,"(1, 1)","(0, 0)","(0, 1)"
,,,
Sungwaloge_(Tauta)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sungwaloge_(Tawet)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sunwadia,"(0, 0)","(0, 0)","(0, 0)"
,,,
Tadyawan,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tagalog,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tahitians,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tahitian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tajio,"(0, 1)","(1, 0)","(0, 0)"
,,,
Takia,"(1, 1)","(0, 0)","(0, 1)"
,,,
Takuu,"(0, 1)","(0, 0)","(0, 1)"
,,,
Talibabu,"(1, 1)","(0, 0)","(0, 0)"
,,,
Talise_(Tolo),"(1, 1)","(0, 0)","(0, 1)"
,,,
Tamambo,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tanala,"(1, 1)","(0, 0)","(1, 1)"
,,,
Tanampedagi_Taje_,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tangoa_(Movono),"(1, 0)","(1, 0)","(0, 0)"
,,,
Tasiko,"(1, 0)","(0, 0)","(1, 0)"
,,,
Taumako,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tausug_(Sulu_Moro),"(1, 0)","(0, 0)","(0, 0)"
,,,
Tausug_,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tetum_(Tetun),"(1, 1)","(1, 1)","(0, 0)"
,,,
Tetun_Dili_(Tetum),"(1, 1)","(1, 1)","(1, 1)"
,,,
Thao,"(0, 0)","(0, 0)","(0, 0)"
,,,
Tiale,"(0, 0)","(0, 0)","(0, 0)"
,,,
Tialo_(Tomini),"(0, 1)","(1, 0)","(0, 0)"
,,,
Tigak,"(1, 0)","(0, 0)","(0, 0)"
,,,
Tikopia,"(1, 1)","(1, 0)","(1, 1)"
,,,
Tikopia_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Tirax_(Mae),"(1, 1)","(0, 0)","(0, 1)"
,,,
Tiri-Mea_(Grand_Couli),"(1, 0)","(1, 0)","(0, 0)"
,,,
Tokelau,"(1, 1)","(0, 0)","(1, 0)"
,,,
Tokelau_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Tokotu'a_(Kabaena),"(0, 1)","(1, 0)","(0, 0)"
,,,
Tolaki,"(0, 0)","(1, 0)","(0, 0)"
,,,
Tomadino,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tombulu,"(1, 1)","(1, 1)","(0, 0)"
,,,
Tongan,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tongarevans,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tonga_(Tonga_Islands),"(1, 1)","(0, 0)","(0, 1)"
,,,
Tonsea,"(1, 1)","(1, 0)","(0, 0)"
,,,
Toqabaqita,"(0, 0)","(0, 0)","(0, 0)"
,,,
Torete,"(0, 1)","(1, 0)","(0, 0)"
,,,
Totoli,"(0, 1)","(1, 1)","(0, 0)"
,,,
Tubuai,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tukang_Besi_South,"(0, 0)","(1, 0)","(0, 0)"
,,,
Tulambatu,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tungag,"(1, 0)","(0, 0)","(0, 0)"
,,,
Tuvalu_(Nanumea),"(1, 1)","(0, 0)","(0, 0)"
,,,
Ulawa,"(0, 0)","(1, 0)","(0, 0)"
,,,
Uma_Juman_(Kayan),"(1, 1)","(1, 0)","(0, 0)"
,,,
Umiray_Dumaget_Agta,"(0, 1)","(1, 1)","(1, 0)"
,,,
Unua,"(0, 0)","(1, 0)","(0, 0)"
,,,
Urak_Lawoi,"(0, 1)","(1, 1)","(0, 0)"
,,,
Ura,"(1, 0)","(0, 0)","(0, 0)"
,,,
Uripiv-Wala-Rano-Atchin,"(1, 1)","(0, 0)","(0, 0)"
,,,
Vaekau-Taumako,"(1, 1)","(0, 0)","(0, 0)"
,,,
Vao,"(1, 1)","(0, 0)","(0, 0)"
,,,
Varisi,"(1, 1)","(0, 0)","(0, 0)"
,,,
Vera'a,"(1, 1)","(0, 0)","(1, 0)"
,,,
Vures,"(1, 1)","(0, 0)","(1, 0)"
,,,
Waia,"(0, 1)","(1, 0)","(0, 0)"
,,,
Wallisian_(East_Uvea),"(1, 1)","(0, 0)","(0, 1)"
,,,
Waropen,"(1, 0)","(0, 1)","(0, 0)"
,,,
Waru,"(0, 1)","(1, 0)","(0, 0)"
,,,
Watut,"(1, 1)","(0, 0)","(0, 1)"
,,,
Wawonii,"(0, 1)","(1, 0)","(0, 0)"
,,,
Weda,"(1, 1)","(1, 0)","(0, 0)"
,,,
Western_Bukidnon_Manobo,"(1, 1)","(0, 0)","(0, 0)"
,,,
Western_Tawbuid_(Batangan),"(0, 1)","(1, 0)","(0, 0)"
,,,
West_Coast_Bajau,"(0, 1)","(1, 0)","(0, 0)"
,,,
West_Futuna,"(1, 1)","(0, 1)","(1, 1)"
,,,
Whitesands,"(1, 0)","(0, 0)","(1, 0)"
,,,
Wiwirano,"(0, 1)","(1, 0)","(0, 0)"
,,,
Wogeo,"(1, 1)","(0, 0)","(1, 0)"
,,,
Woleaian,"(0, 0)","(0, 0)","(0, 0)"
,,,
Wolio,"(0, 1)","(1, 0)","(0, 0)"
,,,
Wuvulu_Aua,"(1, 1)","(0, 0)","(0, 0)"
,,,
Xalangi_(Maevo_Vanuatu)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Xaracuu_(Canala),"(1, 1)","(1, 0)","(0, 1)"
,,,
Yabem,"(1, 1)","(0, 0)","(1, 1)"
,,,
Yakan,"(1, 1)","(0, 0)","(0, 0)"
,,,
Yamdena,"(1, 0)","(0, 0)","(0, 0)"
,,,
Yami_Tao_,"(0, 1)","(1, 0)","(1, 0)"
,,,
Zabana_(Kia),"(0, 0)","(1, 0)","(0, 0)"
,,,
An-ah'-ne-lin_(Gros_Ventres_of_Prairie),"(1, 1)","(1, 0)","(1, 1)"
,,,
Blood_Siksika_(Blood_Blackfoot),"(1, 1)","(1, 0)","(1, 1)"
,,,
Cree_of_the_Lowlands,"(1, 1)","(1, 0)","(1, 1)"
,,,
Delaware,"(1, 1)","(1, 0)","(1, 0)"
,,,
"Etchemiu,_or_Malisete","(1, 1)","(1, 0)","(1, 1)"
,,,
Kaskaskia,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kickapoo_(Kikapoo),"(1, 1)","(1, 0)","(1, 1)"
,,,
Menomine,"(1, 1)","(1, 0)","(1, 1)"
,,,
Miami,"(1, 1)","(1, 0)","(1, 1)"
,,,
Miemac,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mohegan,"(1, 1)","(1, 0)","(1, 1)"
,,,
Munsee,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ojibwa_Kansas,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ojibwa_Lake_Huron,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ojibwa_Lake_Michigan,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ojibwa_Lake_Superior,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ottawa_(Ota╠îwa),"(1, 1)","(1, 0)","(1, 1)"
,,,
Peoria,"(1, 1)","(1, 0)","(1, 1)"
,,,
Pianeshaw,"(1, 1)","(1, 0)","(1, 1)"
,,,
Piegan_Siksika_(Piegan_Blackfoot),"(1, 1)","(1, 0)","(1, 1)"
,,,
Plains_Cree_(Cree_of_the_Prairie),"(1, 1)","(1, 0)","(1, 1)"
,,,
Potawatomi_(Pota╠îwattamie),"(1, 1)","(1, 0)","(0, 1)"
,,,
Sawk_and_Fox,"(1, 1)","(1, 0)","(1, 1)"
,,,
Shawnee,"(1, 1)","(1, 0)","(1, 1)"
,,,
Shiyan,"(0, 1)","(1, 0)","(0, 1)"
,,,
Weaw,"(1, 1)","(1, 0)","(1, 1)"
,,,
Woods_Cree_(Cree_of_the_Woods),"(1, 1)","(1, 0)","(1, 1)"
,,,
Northern_Ojibwa,"(0, 1)","(1, 0)","(1, 1)"
,,,
Ottowa_Ojibwa,"(1, 1)","(1, 0)","(1, 1)"
,,,
Wiyot,"(0, 1)","(0, 0)","(0, 1)"
,,,
Yurok,"(1, 1)","(1, 0)","(0, 0)"
,,,
De_kwana_Maquiritari_,"(0, 1)","(1, 0)","(0, 1)"
,,,
Galibi_Carib,"(1, 1)","(1, 0)","(0, 1)"
,,,
Macushi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Panare,"(1, 1)","(0, 0)","(1, 1)"
,,,
Pemon,"(1, 1)","(1, 0)","(1, 1)"
,,,
Waimiri_Atroari,"(1, 1)","(1, 0)","(1, 1)"
,,,
Wai_Wai,"(1, 1)","(0, 0)","(0, 1)"
,,,
Aghul,"(0, 1)","(1, 0)","(0, 0)"
,,,
Akhvakh_Northern_Akhvakh_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Andi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Archi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Avar_Ancux_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Avar_Andalal_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Avar,"(1, 1)","(1, 0)","(0, 1)"
,,,
Avar_Batlux_,"(1, 1)","(1, 0)","(0, 0)"
,,,
Avar_Hid_dialect_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Avaz_Khunzakh_,"(1, 1)","(1, 0)","(0, 0)"
,,,
Bahvalal,"(1, 1)","(1, 0)","(0, 1)"
,,,
Bats_Tsova_Tush_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Bezhta,"(1, 1)","(1, 0)","(0, 1)"
,,,
Budukh,"(1, 1)","(1, 0)","(0, 1)"
,,,
Chamalal,"(1, 1)","(1, 0)","(0, 1)"
,,,
Chamalal_Gigatli_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dargwa_Chirag_,"(1, 1)","(1, 0)","(0, 0)"
,,,
Dargwa_Itsari_,"(1, 1)","(1, 0)","(0, 0)"
,,,
Godoberi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Hinuq,"(1, 1)","(1, 0)","(0, 1)"
,,,
Hunzib,"(1, 0)","(1, 0)","(0, 1)"
,,,
Ingush,"(1, 1)","(1, 0)","(0, 1)"
,,,
Inxokvari,"(1, 1)","(1, 0)","(0, 1)"
,,,
Rutul,"(1, 1)","(1, 0)","(0, 1)"
,,,
Kazakh,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kumyk,"(1, 1)","(1, 0)","(0, 0)"
,,,
Nogai,"(1, 1)","(1, 0)","(0, 0)"
,,,
North_Azerbaijani,"(1, 1)","(1, 0)","(0, 1)"
,,,
Turkish,"(0, 1)","(1, 0)","(0, 1)"
,,,
Chenchu,"(1, 1)","(1, 1)","(1, 1)"
,,,
Dandami_Maria,"(1, 1)","(1, 1)","(1, 1)"
,,,
Gondi,"(1, 0)","(1, 0)","(0, 0)"
,,,
Kadar,"(1, 1)","(1, 1)","(0, 1)"
,,,
Kodava,"(1, 1)","(1, 1)","(0, 1)"
,,,
Koya,"(1, 1)","(1, 1)","(1, 1)"
,,,
Kui,"(1, 1)","(1, 1)","(1, 1)"
,,,
Kurukh,"(1, 1)","(1, 1)","(1, 1)"
,,,
Kuvi,"(1, 1)","(1, 1)","(0, 1)"
,,,
Malapandaram,"(1, 1)","(1, 1)","(1, 1)"
,,,
Malayalam,"(1, 1)","(1, 1)","(0, 1)"
,,,
Canarese,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tamil,"(1, 1)","(1, 1)","(1, 1)"
,,,
Telugu,"(1, 1)","(1, 1)","(1, 1)"
,,,
Northern_Gondi,"(1, 1)","(0, 0)","(0, 1)"
,,,
Paliyan,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tamil,"(1, 1)","(1, 1)","(0, 1)"
,,,
Telugu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Toda,"(0, 1)","(1, 1)","(0, 1)"
,,,
Yerukula,"(0, 1)","(0, 0)","(0, 0)"
,,,
Arizona_Yaqui_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Aztec,"(1, 1)","(0, 0)","(0, 0)"
,,,
Bannock,"(1, 1)","(1, 0)","(1, 1)"
,,,
Cahuilla,"(1, 1)","(1, 1)","(0, 0)"
,,,
Chemehuevi,"(1, 0)","(0, 0)","(0, 0)"
,,,
Colorado_Ute_,"(1, 1)","(1, 0)","(0, 0)"
,,,
Comanche,"(1, 1)","(1, 0)","(0, 1)"
,,,
Cora,"(0, 0)","(0, 0)","(0, 0)"
,,,
Cupen╠âo,"(1, 1)","(1, 1)","(1, 1)"
,,,
Eudeve,"(1, 0)","(1, 0)","(0, 0)"
,,,
Gabrielino,"(1, 1)","(1, 0)","(0, 0)"
,,,
Guarijio,"(1, 1)","(1, 1)","(0, 0)"
,,,
Highland_Puebla_Nahuatl,"(1, 0)","(0, 0)","(0, 0)"
,,,
Hopi,"(1, 1)","(1, 0)","(0, 0)"
,,,
Hopi_S__,"(0, 0)","(0, 0)","(0, 0)"
,,,
Huastec_Nahuatl,"(0, 0)","(0, 0)","(0, 0)"
,,,
Huichol,"(0, 0)","(0, 0)","(0, 0)"
,,,
Kawaiisu,"(1, 1)","(1, 0)","(0, 0)"
,,,
Kitanemuk_,"(0, 1)","(1, 1)","(0, 0)"
,,,
Lower_Pima_Pima_Bajo,"(0, 1)","(0, 1)","(0, 1)"
,,,
Luisen╠üo,"(1, 1)","(1, 1)","(0, 1)"
,,,
Mayo,"(0, 1)","(0, 0)","(0, 0)"
,,,
Mono,"(1, 1)","(1, 0)","(0, 1)"
,,,
Utahs_(Tabegwaches),"(1, 0)","(1, 0)","(0, 0)"
,,,
Nevome_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Northern_Paiute,"(1, 0)","(0, 0)","(0, 0)"
,,,
Northern_Tepehuan,"(1, 1)","(0, 1)","(0, 1)"
,,,
North_Northern_Paiute,"(1, 1)","(1, 0)","(1, 1)"
,,,
Opata,"(1, 1)","(1, 1)","(0, 0)"
,,,
Pima_de_Yepa╠üchic,"(0, 0)","(0, 0)","(0, 0)"
,,,
Pipil,"(0, 0)","(0, 0)","(0, 0)"
,,,
Serrano,"(1, 1)","(1, 1)","(0, 0)"
,,,
Shoshoni,"(1, 1)","(1, 0)","(0, 0)"
,,,
Southeastern_Tepehuano,"(1, 1)","(1, 1)","(0, 0)"
,,,
Southern_Paiute,"(1, 1)","(1, 0)","(0, 1)"
,,,
Southern_Tepehuan,"(0, 1)","(1, 1)","(0, 1)"
,,,
Southern_Tepehuan_W_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Southern_Ute,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tarahumara,"(1, 1)","(1, 1)","(0, 0)"
,,,
Tohono_O_odham,"(0, 1)","(0, 0)","(0, 1)"
,,,
Tubar,"(0, 0)","(0, 0)","(0, 0)"
,,,
Tu╠êbatu╠êlabal,"(0, 0)","(0, 0)","(0, 0)"
,,,
Tu╠êmpisha_Shoshoni,"(1, 1)","(1, 0)","(0, 1)"
,,,
Western_Shoshoni,"(0, 0)","(0, 0)","(0, 0)"
,,,
White_Mesa_Ute_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Yaqui,"(1, 0)","(1, 0)","(0, 0)"
,,,
Asu_Tanzania_,"(1, 1)","(1, 1)","(0, 1)"
,,,
Avatime,"(1, 1)","(1, 0)","(0, 1)"
,,,
Bafia,"(0, 0)","(1, 0)","(0, 0)"
,,,
Bali_Congo_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Bali_DRC_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Bamun,"(0, 0)","(1, 0)","(0, 0)"
,,,
Batanga,"(1, 1)","(1, 1)","(1, 1)"
,,,
Bemba,"(0, 1)","(1, 1)","(0, 1)"
,,,
Bena_Tanzania_,"(1, 1)","(1, 1)","(1, 1)"
,,,
Bende,"(1, 1)","(1, 0)","(0, 1)"
,,,
Bera,"(0, 1)","(1, 1)","(0, 1)"
,,,
Bila,"(0, 1)","(1, 1)","(1, 1)"
,,,
Budza,"(0, 0)","(0, 0)","(0, 0)"
,,,
Bukusu,"(1, 1)","(1, 1)","(0, 1)"
,,,
Bushoong,"(1, 1)","(0, 0)","(0, 1)"
,,,
Chokwe,"(1, 1)","(0, 0)","(1, 1)"
,,,
Digo,"(0, 1)","(1, 1)","(1, 1)"
,,,
Ding,"(0, 1)","(1, 0)","(0, 1)"
,,,
Duala,"(1, 1)","(1, 0)","(0, 1)"
,,,
Duma,"(0, 1)","(0, 0)","(0, 1)"
,,,
Ekonda_Mongo,"(0, 1)","(1, 0)","(0, 1)"
,,,
Fang_EG,"(1, 1)","(1, 0)","(0, 1)"
,,,
Fefe,"(1, 1)","(1, 0)","(0, 0)"
,,,
Fipa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Ganda,"(1, 1)","(1, 0)","(0, 1)"
,,,
Giryama,"(1, 1)","(0, 1)","(1, 1)"
,,,
Gogo,"(0, 1)","(1, 0)","(1, 1)"
,,,
Gusii,"(1, 0)","(0, 0)","(0, 0)"
,,,
Haya,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ha,"(1, 1)","(1, 0)","(1, 1)"
,,,
Hehe,"(1, 1)","(1, 1)","(1, 1)"
,,,
Herero,"(1, 1)","(1, 1)","(0, 1)"
,,,
Igbo,"(1, 0)","(0, 1)","(1, 1)"
,,,
Kagulu,"(0, 1)","(1, 1)","(0, 0)"
,,,
Kamba,"(0, 1)","(1, 0)","(0, 1)"
,,,
Kaonde,"(0, 1)","(1, 0)","(1, 1)"
,,,
Kerewe,"(0, 0)","(0, 0)","(0, 0)"
,,,
Ke╠üle╠ü,"(0, 1)","(0, 0)","(0, 1)"
,,,
Kikuyu,"(0, 1)","(1, 0)","(1, 0)"
,,,
Komo_DRC_,"(0, 1)","(1, 1)","(1, 1)"
,,,
Kom,"(1, 0)","(1, 0)","(0, 0)"
,,,
Kota,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kwasio,"(1, 1)","(1, 0)","(0, 0)"
,,,
Kwere,"(1, 1)","(1, 1)","(0, 1)"
,,,
Lala_Bisa,"(0, 1)","(0, 0)","(0, 1)"
,,,
Lamba,"(1, 1)","(1, 0)","(1, 1)"
,,,
Langi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Lingala,"(1, 1)","(1, 1)","(0, 1)"
,,,
Lozi,"(1, 1)","(0, 1)","(0, 1)"
,,,
Luba_Katanga,"(1, 1)","(1, 1)","(0, 1)"
,,,
Luba_Lulua,"(0, 1)","(1, 0)","(0, 0)"
,,,
Luguru,"(1, 1)","(1, 1)","(1, 1)"
,,,
Lunda,"(1, 1)","(1, 1)","(1, 1)"
,,,
Luvale,"(1, 1)","(0, 0)","(1, 1)"
,,,
Makonde,"(1, 1)","(0, 0)","(0, 0)"
,,,
Masaaba,"(1, 1)","(1, 1)","(1, 0)"
,,,
Mbala,"(1, 1)","(1, 0)","(0, 1)"
,,,
Mbere,"(1, 1)","(0, 0)","(0, 1)"
,,,
Mbuun,"(0, 1)","(1, 0)","(0, 1)"
,,,
Meru,"(1, 1)","(1, 1)","(1, 1)"
,,,
Meta,"(1, 0)","(0, 0)","(0, 0)"
,,,
Mokpwe,"(1, 1)","(1, 0)","(0, 0)"
,,,
Mongo,"(1, 1)","(1, 1)","(1, 1)"
,,,
Amazulu_(Amazulu_Kafir),"(1, 1)","(1, 0)","(1, 1)"
,,,
Mungaka,"(0, 1)","(1, 1)","(0, 1)"
,,,
Myene,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ndumu,"(0, 1)","(0, 0)","(0, 1)"
,,,
Ngombe_Binja,"(0, 0)","(0, 0)","(0, 0)"
,,,
Ngoni,"(0, 0)","(0, 0)","(0, 0)"
,,,
Ngulu,"(1, 1)","(1, 1)","(0, 0)"
,,,
Njebi,"(1, 1)","(0, 0)","(0, 1)"
,,,
Nsong,"(0, 1)","(1, 0)","(0, 1)"
,,,
Nyakyusa,"(1, 1)","(1, 1)","(1, 1)"
,,,
Nyoro,"(1, 1)","(1, 0)","(1, 1)"
,,,
Oroko,"(0, 0)","(0, 0)","(0, 0)"
,,,
Phende,"(0, 1)","(1, 0)","(0, 1)"
,,,
Pinji,"(0, 1)","(0, 0)","(0, 1)"
,,,
Pokomo,"(0, 1)","(0, 0)","(0, 0)"
,,,
Punu,"(0, 1)","(0, 0)","(0, 1)"
,,,
Rundi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Sakata,"(0, 0)","(1, 0)","(0, 0)"
,,,
Sake,"(1, 1)","(0, 0)","(0, 1)"
,,,
Sango,"(1, 0)","(0, 0)","(0, 0)"
,,,
Sangu,"(0, 1)","(0, 0)","(0, 1)"
,,,
Sangu_Tanzania_,"(1, 1)","(1, 0)","(1, 1)"
,,,
San_Salvador_Kongo,"(0, 0)","(1, 1)","(0, 0)"
,,,
Seki,"(1, 1)","(0, 0)","(0, 1)"
,,,
Shi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Shona,"(0, 0)","(0, 0)","(0, 0)"
,,,
Sira,"(0, 1)","(0, 0)","(0, 1)"
,,,
Soga,"(1, 1)","(1, 1)","(0, 1)"
,,,
Songoora,"(1, 1)","(1, 0)","(0, 0)"
,,,
Sukuma,"(1, 1)","(1, 0)","(0, 1)"
,,,
Suku,"(1, 1)","(1, 1)","(0, 1)"
,,,
Sumbwa,"(1, 0)","(0, 0)","(0, 0)"
,,,
Suundi,"(1, 0)","(0, 0)","(0, 0)"
,,,
Taabwa,"(1, 1)","(1, 0)","(0, 0)"
,,,
Temi,"(0, 0)","(1, 0)","(0, 0)"
,,,
Tetela,"(0, 1)","(1, 0)","(0, 1)"
,,,
Tiv,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tonga_Nyasa_,"(0, 1)","(1, 0)","(0, 0)"
,,,
Tooro,"(1, 1)","(0, 0)","(1, 1)"
,,,
Tsaangi,"(0, 1)","(0, 0)","(0, 0)"
,,,
Tsogo,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tsonga,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tswana,"(0, 1)","(1, 1)","(0, 1)"
,,,
Umbundu,"(0, 1)","(1, 0)","(0, 0)"
,,,
Venda,"(0, 1)","(1, 1)","(0, 1)"
,,,
Vili,"(0, 1)","(0, 0)","(0, 0)"
,,,
Yaka_CAR_,"(1, 1)","(0, 1)","(0, 1)"
,,,
Yaka_Pelende_Lonzo,"(1, 1)","(0, 0)","(1, 0)"
,,,
Yansi,"(0, 1)","(1, 0)","(0, 0)"
,,,
Yao,"(1, 0)","(1, 0)","(0, 0)"
,,,
Yombe,"(1, 1)","(1, 1)","(1, 1)"
,,,
Zigula,"(0, 1)","(1, 1)","(0, 1)"
,,,
Zinza,"(1, 1)","(0, 0)","(0, 0)"
,,,
Zulu,"(1, 1)","(0, 0)","(1, 1)"
,,,
Erzya,"(1, 1)","(1, 0)","(0, 0)"
,,,
Estonian,"(1, 1)","(0, 0)","(1, 1)"
,,,
Finnic,"(1, 1)","(1, 0)","(0, 0)"
,,,
Finnish,"(1, 1)","(0, 0)","(0, 0)"
,,,
Ingrian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kazym_Berezover_Suryskarer_Khanty,"(1, 1)","(1, 0)","(0, 1)"
,,,
kinura_ForestEnets,"(1, 1)","(1, 1)","(0, 0)"
,,,
kinura_HillMari,"(1, 1)","(1, 1)","(0, 1)"
,,,
kinura_Livonian,"(0, 0)","(0, 0)","(0, 0)"
,,,
kinura_MokshaMordvin,"(1, 1)","(1, 1)","(0, 0)"
,,,
kinura_Nganasan,"(1, 1)","(1, 1)","(0, 1)"
,,,
kinura_NorthSaami,"(1, 1)","(1, 1)","(0, 1)"
,,,
kinura_SkoltSaami,"(1, 1)","(0, 1)","(0, 1)"
,,,
kinura_SouthSaami,"(1, 1)","(1, 1)","(0, 1)"
,,,
Komi_Zyrian,"(1, 1)","(1, 0)","(0, 1)"
,,,
Magyar,"(1, 1)","(1, 0)","(0, 1)"
,,,
Mansi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Mari,"(1, 1)","(1, 0)","(1, 0)"
,,,
Northern_Sami,"(1, 1)","(1, 1)","(0, 1)"
,,,
Selkup,"(1, 1)","(1, 0)","(0, 0)"
,,,
Tundra_Nenets,"(1, 1)","(1, 0)","(0, 1)"
,,,
Udmurt,"(1, 1)","(1, 1)","(1, 1)"
,,,
Veps,"(1, 1)","(0, 0)","(0, 0)"
,,,
