LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Awiakay,"(1, 1)","(0, 1)","(0, 1)"
,,,
Ayoreo,"(1, 1)","(1, 0)","(0, 1)"
,,,
Bardi,"(1, 1)","(0, 0)","(1, 1)"
,,,
Bari,"(1, 1)","(0, 0)","(0, 1)"
,,,
Baruya,"(1, 1)","(1, 0)","(1, 1)"
,,,
Basque,"(1, 1)","(0, 0)","(0, 1)"
,,,
Basque,"(1, 1)","(1, 0)","(0, 0)"
,,,
Berik,"(0, 1)","(1, 0)","(1, 0)"
,,,
Bilua,"(0, 1)","(1, 0)","(0, 0)"
,,,
Bininj_Kun-wok,"(1, 1)","(1, 1)","(1, 1)"
,,,
Blagar,"(1, 1)","(0, 0)","(1, 0)"
,,,
Buin,"(1, 1)","(1, 0)","(0, 1)"
,,,
Cayubaba,"(1, 0)","(0, 0)","(0, 0)"
,,,
Central_Aymara,"(1, 0)","(1, 0)","(0, 0)"
,,,
Cha_palaa,"(1, 1)","(1, 0)","(0, 1)"
,,,
Chimariko,"(1, 1)","(0, 0)","(0, 1)"
,,,
Chipaya,"(0, 0)","(1, 0)","(0, 0)"
,,,
Chiricahua,"(1, 0)","(0, 0)","(1, 1)"
,,,
Coastal_Yuki_,"(0, 1)","(0, 0)","(0, 0)"
,,,
Cocopa,"(1, 1)","(1, 1)","(0, 1)"
,,,
Cofan,"(1, 0)","(0, 0)","(0, 0)"
,,,
Copper_Inuit,"(1, 0)","(1, 0)","(0, 0)"
,,,
Cruzen╠âo,"(1, 0)","(1, 0)","(0, 0)"
,,,
Cubeo,"(1, 1)","(0, 0)","(1, 1)"
,,,
Cusco_Quechua,"(1, 1)","(0, 0)","(0, 1)"
,,,
Dalabon,"(1, 1)","(0, 1)","(1, 1)"
,,,
Daribi,"(1, 1)","(0, 0)","(1, 1)"
,,,
Degexit_an,"(1, 0)","(0, 0)","(0, 0)"
,,,
DeneTha_South_Slavey_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dene_Suline╠ü,"(1, 1)","(1, 0)","(0, 0)"
,,,
De╠üli╠¿ne,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dogrib,"(1, 0)","(1, 0)","(0, 0)"
,,,
Doutai,"(1, 1)","(0, 0)","(0, 1)"
,,,
Duna,"(1, 1)","(0, 0)","(1, 1)"
,,,
Edopi,"(1, 1)","(0, 0)","(0, 1)"
,,,
Eipo,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ekari,"(1, 1)","(0, 0)","(1, 1)"
,,,
Elamite,"(1, 0)","(0, 0)","(0, 0)"
,,,
Ende_(Papua_New_Guinea),"(1, 1)","(0, 1)","(0, 1)"
,,,
Epena,"(1, 0)","(1, 0)","(0, 0)"
,,,
Eyak,"(0, 1)","(0, 0)","(0, 1)"
,,,
Foi,"(1, 1)","(0, 0)","(1, 1)"
,,,
Fore,"(1, 1)","(1, 0)","(1, 1)"
,,,
Galeia_A,"(1, 0)","(0, 0)","(0, 0)"
,,,
Galeia_B,"(1, 1)","(0, 1)","(0, 1)"
,,,
Ganggalida,"(1, 1)","(1, 1)","(1, 1)"
,,,
Gimi,"(1, 1)","(0, 0)","(1, 0)"
,,,
Grand_Valley_Dani,"(1, 1)","(0, 0)","(1, 1)"
,,,
Gui_(Gwi),"(0, 1)","(1, 1)","(1, 1)"
,,,
Gu╠ênu╠êna_Ku╠êne,"(1, 1)","(0, 0)","(0, 1)"
,,,
Hewa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Hoti_Yuwana_,"(1, 0)","(1, 0)","(0, 0)"
,,,
Huli,"(1, 1)","(0, 0)","(1, 1)"
,,,
Hunza,"(1, 0)","(0, 0)","(0, 0)"
,,,
Hupa,"(1, 1)","(1, 0)","(0, 1)"
,,,
I'saka_(Krisa),"(1, 1)","(1, 1)","(0, 1)"
,,,
Iau,"(1, 1)","(1, 0)","(0, 0)"
,,,
Idi,"(0, 1)","(1, 1)","(1, 1)"
,,,
Inanwatan_(Suabo),"(1, 1)","(1, 0)","(0, 0)"
,,,
Isirawa,"(0, 1)","(1, 1)","(0, 1)"
,,,
Itonama,"(1, 0)","(0, 0)","(0, 0)"
,,,
Iwam,"(1, 1)","(0, 1)","(1, 1)"
,,,
Iyojwa_ja_Chorote,"(1, 0)","(0, 0)","(0, 0)"
,,,
Japanese,"(1, 1)","(1, 0)","(0, 0)"
,,,
Jicarilla,"(1, 1)","(0, 0)","(1, 1)"
,,,
Jingulu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kalamang,"(1, 1)","(1, 1)","(1, 1)"
,,,
