LANGUAGE,AGE,SET
language_684,"[1, 0]",849
language_685,"[0, 0]",849
language_687,"[0, 0]",849
language_688,"[1, 0]",849
language_689,"[1, 0]",849
language_691,"[1, 1]",849
language_692,"[1, 0]",849
language_693,"[0, 0]",849
language_694,"[1, 0]",849
language_695,"[1, 0]",849
language_697,"[1, 0]",849
language_698,"[0, 0]",849
language_699,"[0, 0]",849
language_700,"[0, 0]",849
language_701,"[0, 0]",849
language_702,"[1, 0]",849
language_703,"[1, 0]",849
language_704,"[1, 0]",849
language_705,"[1, 0]",849
language_706,"[0, 0]",849
language_707,"[1, 0]",849
language_708,"[1, 1]",849
language_709,"[1, 0]",849
language_710,"[0, 0]",849
language_711,"[1, 0]",849
language_712,"[1, 0]",849
language_713,"[0, 0]",849
language_714,"[1, 0]",849
language_715,"[0, 0]",849
language_716,"[1, 0]",849
language_717,"[0, 0]",849
language_718,"[1, 0]",849
language_719,"[0, 0]",849
language_720,"[0, 0]",849
language_721,"[1, 1]",849
language_722,"[1, 0]",849
language_723,"[1, 0]",849
language_724,"[1, 0]",849
language_727,"[1, 0]",849
language_728,"[1, 0]",849
language_729,"[1, 0]",849
language_730,"[1, 0]",849
language_733,"[0, 0]",849
language_734,"[1, 0]",849
language_735,"[1, 0]",849
language_736,"[0, 0]",849
language_739,"[1, 1]",849
language_740,"[1, 0]",849
language_741,"[1, 0]",849
language_743,"[0, 0]",849
language_744,"[1, 0]",849
language_745,"[1, 0]",849
language_746,"[1, 0]",849
language_747,"[1, 0]",849
language_748,"[1, 0]",849
language_749,"[1, 1]",849
language_750,"[1, 0]",849
language_752,"[1, 0]",849
language_753,"[1, 0]",849
language_755,"[1, 0]",849
language_757,"[1, 0]",849
language_758,"[0, 0]",849
language_759,"[1, 0]",849
language_760,"[1, 0]",849
language_761,"[1, 0]",849
language_763,"[1, 0]",849
language_764,"[1, 1]",849
language_765,"[1, 0]",849
language_766,"[0, 0]",849
language_767,"[1, 0]",849
language_769,"[1, 0]",849
language_770,"[0, 0]",849
language_771,"[1, 0]",849
language_772,"[1, 0]",849
language_774,"[0, 0]",849
language_775,"[0, 0]",849
language_776,"[1, 0]",849
language_777,"[0, 0]",849
language_778,"[0, 0]",849
language_779,"[1, 0]",849
language_780,"[0, 0]",849
language_781,"[1, 0]",849
language_782,"[1, 0]",849
language_783,"[1, 0]",849
language_785,"[1, 0]",849
language_786,"[1, 0]",849
language_787,"[0, 0]",849
language_789,"[0, 0]",849
language_791,"[0, 0]",849
language_792,"[1, 0]",849
language_793,"[1, 0]",849
language_794,"[1, 0]",849
language_795,"[1, 0]",849
language_796,"[1, 0]",849
language_797,"[1, 0]",849
language_798,"[1, 0]",849
language_799,"[1, 0]",849
language_800,"[1, 0]",849
language_801,"[1, 0]",849
language_802,"[1, 0]",849
language_805,"[0, 0]",849
language_806,"[0, 0]",849
language_807,"[0, 0]",849
language_810,"[0, 0]",849
language_811,"[1, 0]",849
language_812,"[1, 0]",849
language_813,"[1, 0]",849
language_814,"[1, 1]",849
language_815,"[0, 0]",849
language_816,"[0, 0]",849
language_817,"[1, 0]",849
language_819,"[1, 0]",849
language_821,"[1, 0]",849
language_822,"[0, 0]",849
language_823,"[1, 1]",849
language_825,"[1, 0]",849
language_826,"[0, 0]",849
language_827,"[0, 0]",849
language_828,"[0, 0]",849
language_830,"[1, 0]",849
language_831,"[0, 1]",849
language_832,"[0, 0]",849
language_833,"[0, 0]",849
language_834,"[0, 0]",849
language_835,"[1, 1]",849
language_837,"[0, 0]",849
language_838,"[0, 0]",849
language_839,"[1, 1]",849
language_840,"[0, 0]",849
language_841,"[0, 0]",849
language_843,"[1, 0]",849
language_844,"[1, 0]",849
language_845,"[1, 0]",849
language_846,"[1, 0]",849
language_847,"[0, 0]",849
language_848,"[1, 0]",849
language_849,"[1, 0]",849
language_850,"[1, 0]",849
language_851,"[1, 0]",849
language_853,"[1, 0]",849
language_855,"[1, 0]",849
language_856,"[0, 0]",849
language_857,"[1, 0]",849
language_858,"[1, 0]",849
language_860,"[0, 0]",849
language_861,"[1, 0]",849
language_862,"[1, 0]",849
language_863,"[1, 0]",849
language_864,"[1, 0]",849
language_867,"[1, 1]",849
language_868,"[1, 0]",849
language_869,"[0, 0]",849
language_870,"[1, 0]",849
language_871,"[1, 1]",849
language_872,"[1, 0]",849
language_873,"[0, 0]",849
language_874,"[0, 0]",849
language_877,"[0, 0]",849
language_878,"[1, 0]",849
language_879,"[1, 0]",849
language_880,"[1, 0]",849
language_881,"[1, 1]",849
language_882,"[1, 0]",849
language_883,"[0, 0]",849
language_884,"[1, 0]",849
language_886,"[1, 0]",849
language_887,"[1, 0]",849
language_888,"[0, 1]",849
language_890,"[0, 1]",849
language_891,"[1, 0]",849
language_892,"[1, 0]",849
language_893,"[1, 0]",849
language_894,"[1, 0]",849
language_897,"[1, 0]",849
language_898,"[1, 1]",849
language_900,"[1, 0]",849
language_901,"[1, 0]",849
language_903,"[1, 0]",849
language_904,"[1, 0]",849
language_906,"[0, 0]",849
language_907,"[1, 1]",849
language_908,"[0, 0]",849
language_909,"[1, 1]",849
language_911,"[0, 0]",849
language_912,"[1, 0]",849
language_913,"[0, 0]",849
language_914,"[1, 0]",849
language_915,"[1, 0]",849
language_916,"[0, 0]",849
language_917,"[1, 0]",849
language_918,"[1, 0]",849
language_919,"[1, 0]",849
language_921,"[1, 0]",849
language_922,"[1, 0]",849
language_923,"[1, 0]",849
language_926,"[1, 0]",849
language_927,"[1, 0]",849
language_928,"[0, 1]",849
language_929,"[1, 0]",849
language_931,"[1, 0]",849
language_932,"[1, 0]",849
language_934,"[0, 0]",849
language_935,"[0, 0]",849
language_936,"[0, 0]",849
language_937,"[1, 0]",849
language_938,"[0, 0]",849
language_939,"[0, 0]",849
language_941,"[1, 1]",849
language_942,"[1, 0]",849
language_943,"[1, 0]",849
language_945,"[0, 0]",849
language_946,"[1, 0]",849
language_947,"[1, 0]",849
language_948,"[1, 0]",849
language_949,"[1, 0]",849
language_950,"[1, 0]",849
language_951,"[1, 1]",849
language_952,"[1, 0]",849
language_953,"[1, 0]",849
language_954,"[0, 0]",849
language_955,"[1, 0]",849
language_956,"[1, 0]",849
language_957,"[1, 0]",849
language_958,"[1, 0]",849
language_960,"[0, 0]",849
language_961,"[0, 0]",849
language_962,"[0, 0]",849
language_963,"[1, 0]",849
language_964,"[0, 0]",849
language_965,"[0, 0]",849
language_966,"[1, 0]",849
language_967,"[1, 0]",849
language_968,"[1, 0]",849
language_969,"[1, 0]",849
language_970,"[0, 0]",849
language_972,"[1, 1]",849
language_973,"[1, 0]",849
language_975,"[1, 0]",849
language_976,"[1, 0]",849
language_980,"[0, 0]",849
language_981,"[1, 0]",849
language_983,"[1, 1]",849
language_985,"[0, 0]",849
language_987,"[0, 0]",849
language_988,"[1, 1]",849
language_989,"[1, 0]",849
language_990,"[0, 0]",849
language_991,"[0, 0]",849
language_993,"[1, 0]",849
language_994,"[0, 0]",849
language_995,"[1, 0]",849
language_996,"[1, 0]",849
language_997,"[1, 0]",849
language_998,"[1, 0]",849
language_999,"[0, 1]",849
language_1000,"[1, 0]",849
