LANGUAGE,GENDER,SET
language_443,"[1, 1]",880
language_444,"[1, 1]",880
language_445,"[1, 1]",880
language_446,"[1, 1]",880
language_447,"[1, 1]",880
language_448,"[1, 1]",880
language_449,"[1, 1]",880
language_450,"[0, 1]",880
language_452,"[1, 1]",880
language_454,"[1, 1]",880
language_455,"[1, 1]",880
language_456,"[0, 1]",880
language_457,"[1, 1]",880
language_458,"[1, 1]",880
language_459,"[1, 1]",880
language_460,"[1, 0]",880
language_461,"[1, 1]",880
language_462,"[1, 1]",880
language_463,"[1, 1]",880
language_464,"[1, 1]",880
language_465,"[1, 1]",880
language_466,"[1, 1]",880
language_468,"[1, 1]",880
language_469,"[1, 0]",880
language_470,"[1, 1]",880
language_471,"[1, 1]",880
language_472,"[0, 0]",880
language_473,"[1, 1]",880
language_474,"[1, 1]",880
language_475,"[0, 1]",880
language_476,"[1, 1]",880
language_477,"[1, 1]",880
language_478,"[1, 1]",880
language_479,"[1, 1]",880
language_480,"[0, 1]",880
language_481,"[1, 1]",880
language_482,"[1, 1]",880
language_483,"[1, 1]",880
language_484,"[1, 1]",880
language_486,"[1, 1]",880
language_487,"[1, 1]",880
language_488,"[1, 1]",880
language_489,"[1, 1]",880
language_490,"[1, 1]",880
language_491,"[1, 1]",880
language_492,"[1, 1]",880
language_494,"[1, 1]",880
language_495,"[1, 1]",880
language_496,"[1, 1]",880
language_497,"[1, 1]",880
language_498,"[0, 1]",880
language_499,"[1, 1]",880
language_500,"[1, 1]",880
language_501,"[1, 1]",880
language_502,"[1, 1]",880
language_503,"[1, 1]",880
language_504,"[0, 1]",880
language_505,"[1, 1]",880
language_506,"[1, 1]",880
language_507,"[1, 1]",880
language_508,"[1, 1]",880
language_509,"[1, 1]",880
language_510,"[1, 1]",880
language_511,"[1, 1]",880
language_512,"[1, 1]",880
language_513,"[1, 1]",880
language_514,"[1, 1]",880
language_515,"[1, 1]",880
language_516,"[1, 1]",880
language_517,"[1, 1]",880
language_518,"[0, 1]",880
language_519,"[1, 1]",880
language_520,"[1, 1]",880
language_521,"[1, 1]",880
language_522,"[0, 1]",880
language_523,"[1, 1]",880
language_524,"[1, 1]",880
language_525,"[1, 1]",880
language_526,"[1, 1]",880
language_527,"[1, 1]",880
language_528,"[1, 1]",880
language_529,"[1, 1]",880
language_532,"[0, 1]",880
language_533,"[1, 1]",880
language_534,"[1, 1]",880
language_536,"[0, 1]",880
language_537,"[1, 1]",880
language_540,"[1, 1]",880
language_541,"[1, 1]",880
language_542,"[1, 1]",880
language_543,"[1, 1]",880
language_544,"[1, 1]",880
language_545,"[1, 0]",880
language_546,"[1, 1]",880
language_548,"[1, 1]",880
language_550,"[0, 1]",880
language_551,"[1, 1]",880
language_552,"[1, 1]",880
language_554,"[0, 1]",880
language_555,"[1, 1]",880
language_556,"[1, 1]",880
language_557,"[1, 1]",880
language_558,"[1, 1]",880
